ID_CUSTOMER,COD_TIPO_NDG,IMP_GBV,PRED_PROB_RECOVERY_12M_AHEAD,PRED_RECOVERY_RATE_12M_AHEAD,PRED_INCASSI_12M_AHEAD,PRED_RECOVERY_CLASS,expected_recovery_ratio,unrecovered_amount,recovery_score
24982,F,14300.71,0.913018782460119,0.4365556378586593,6243.055575881708,A,0.43655563785865936,8057.654424118291,0.3985834969538138
12097,C,853.47,0.8499326800451744,0.4670835806925694,398.6418236136872,A,0.4670835806925694,454.8281763863128,0.396989599543132
17471,F,656.15,0.8716312966761638,0.4543317878514089,298.10980259870195,A,0.45433178785140893,358.04019740129803,0.3960098053661233
24466,F,4143.91,0.9802817838669154,0.403860555572138,1673.5617948409383,A,0.403860555572138,2470.3482051590618,0.395897145849739
4603,G,1512.34,0.8609914908817258,0.4592416276021906,694.529483087897,A,0.45924162760219067,817.8105169121029,0.3954031336241604
10532,G,1211.58,0.9604800984153736,0.4109266465836094,497.8705064677695,A,0.41092664658360945,713.7094935322305,0.3946868659521246
26158,F,547.34,0.8071636531245342,0.4840358390060519,264.93217612157247,A,0.4840358390060519,282.40782387842756,0.3906961360553238
1241,C,2.47,0.8010792268321366,0.4819994612047661,1.1905386691757724,A,0.4819994612047661,1.2794613308242277,0.38611975571542045
586,C,954.9,0.7538468043083634,0.511977729546515,488.8875339439671,A,0.511977729546515,466.01246605603285,0.3859527752956919
3153,G,1131.73,0.9862212828830118,0.3913159446288372,442.863994014794,A,0.3913159446288373,688.866005985206,0.3859241129244294
21174,F,12853.41,0.928077771444501,0.4126772792239364,5304.310267549736,A,0.4126772792239364,7549.099732450264,0.3829966096279309
24015,F,1903.79,0.8154009210711883,0.4661090166009609,887.3736847147434,A,0.46610901660096093,1016.4163152852566,0.3800657214560093
24687,F,358.87,0.7489400250139845,0.5061079968838035,181.62697684169052,B,0.5061079968838034,177.24302315830948,0.37904453584593334
7698,F,943.13,0.9409522282161884,0.401313076274911,378.4904016271568,A,0.40131307627491103,564.6395983728432,0.37761643333317063
21223,F,1539.07,0.8650107352780966,0.4364961723168729,671.7981639277295,A,0.4364961723168729,867.2718360722704,0.37757387496189293
16323,F,988.5,0.8668895131803905,0.4352466376347194,430.24130130192015,A,0.43524663763471944,558.2586986980798,0.37731074581256374
17707,F,845.06,0.7511999969923346,0.5014388758153643,423.7459363965317,A,0.5014388758153643,421.31406360346824,0.3766808820043413
